,streaming,clio,wc_holdings,discard,title,bib_id,oclc_num,format,author,holdings_sup,bib_sup,tag_965,lp,historic_circs,comments,reserve_past_few,location,clio_y_n,num_libs
3450,,,,,"Jussi BjoÌrling. Volume III, Songs and arias [sound recording]. ",2528831,40075007,MUSICAL SOUND RECORDING,"BjoÌrling, Jussi, 1911-1960. ",Y,Y,,,,,,bsr,n,16
3451,,,,,Kairn of Koridwen [sound recording] : a druid legend / Griffes. ,1906129,31812508,MUSICAL SOUND RECORDING,"Griffes, Charles Tomlinson, 1884-1920. ",Y,Y,,,,,,bsr,n,91
3452,,,,,Kammermusik [sound recording] / Hindemith. ,1976438,27661204,MUSICAL SOUND RECORDING,"Hindemith, Paul, 1895-1963. ",N,Y,,,,,,bsr,y,282
3453,,,,,Kammermusik [sound recording] = Chamber works / Beethoven. ,6798443,38131790,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,120
3454,,,,,Kammermusik fuÌr BlaÌser [sound recording] = Chamber music for wind instruments = Musique de chambre pour instruments a vent / Ludwig van Beethoven. ,1968070,33662683,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,,,,,bsr,n,15
3455,,,,,Kantaten [sound recording] = Cantatas / Bach. ,705395,82699907,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,Y,,,,,,bsr,n,7
3456,,,,,Kantaten [sound recording] = Cantatas / Bach. ,705395,82699907,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,Y,,,,,,bsr,n,7
3457,,,,,Kantatenwerk. Folge 16 [sound recording] / Johann Sebastian Bach. ,2994888,46676491,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,
3458,,,,,Kantatenwerk. Folge 18 [sound recording] / Johann Sebastian Bach. ,2994889,78702051,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,3
3459,,,,,Kantatenwerk. Folge 21 [sound recording] / Johann Sebastian Bach. ,2994890,46676495,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,8
3460,,,,,Kantatenwerk. Folge 3 [sound recording] / Johann Sebastian Bach. ,2994886,46676485,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,7
3461,,,,,Kantatenwerk. Folge 32 [sound recording] = Complete cantatas. Volume 32 / Johann Sebastian Bach. ,705475,29270093,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,Y,,,,,,bsr,n,11
3462,,,,,Kantatenwerk. Folge 7 [sound recording] = Complete cantatas / Johann Sebastian Bach. ,2994887,438703426,MUSICAL SOUND RECORDING,"Bach, Johann Sebastian, 1685-1750. ",Y,N,,,,,,bsr,y,2
3463,,,,,Karajan conducts Ravel [sound recording] / Ravel. ,287683,3392304,MUSICAL SOUND RECORDING,"Ravel, Maurice, 1875-1937. ",Y,Y,,,,,,bsr,n,53
3464,,,,,Karin Branzell [sound recording] : (1891-1974). ,5959838,42702813,MUSICAL SOUND RECORDING,"Branzell, Karin, 1891-1974. ",Y,Y,,,,,,bsr,n,9
3465,,,,,Karin Branzell [sound recording] : (1891-1974). ,2362596,42702813,MUSICAL SOUND RECORDING,"Branzell, Karin, 1891-1974. ",Y,Y,,,,,,bsr,n,9
3466,,,,,Karl Erb [sound recording]. ,5597146,47251498,MUSICAL SOUND RECORDING,"Erb, Karl, 1877-1958. ",Y,Y,,,,,,bsr,n,6
3467,,,,,KastcheiÌ l'immortel [sound recording] / NikolaiÌ Rimski-Korsakov. ,1725070,503586410,MUSICAL SOUND RECORDING,"Rimsky-Korsakov, Nikolay, 1844-1908. ",Y,Y,,,,,,bsr,n,
